,2NE1_zh.wikipedia.org_all-access_spider,2PM_zh.wikipedia.org_all-access_spider,3C_zh.wikipedia.org_all-access_spider,4minute_zh.wikipedia.org_all-access_spider,52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,5566_zh.wikipedia.org_all-access_spider,91Days_zh.wikipedia.org_all-access_spider,A'N'D_zh.wikipedia.org_all-access_spider,AKB48_zh.wikipedia.org_all-access_spider,ASCII_zh.wikipedia.org_all-access_spider
2015-07-01,18.0,11.0,1.0,35.0,,12.0,,118.0,5.0,6.0
2015-07-02,11.0,14.0,0.0,13.0,,7.0,,26.0,23.0,3.0
2015-07-03,5.0,15.0,1.0,10.0,,4.0,,30.0,14.0,5.0
2015-07-04,13.0,18.0,1.0,94.0,,5.0,,24.0,12.0,12.0
2015-07-05,14.0,11.0,0.0,4.0,,20.0,,29.0,9.0,6.0
2015-07-06,9.0,13.0,4.0,26.0,,8.0,,127.0,9.0,5.0
2015-07-07,9.0,22.0,0.0,14.0,,5.0,,53.0,35.0,4.0
2015-07-08,22.0,11.0,3.0,9.0,,17.0,,37.0,15.0,13.0
2015-07-09,26.0,10.0,4.0,11.0,,24.0,,20.0,14.0,9.0
2015-07-10,24.0,4.0,4.0,16.0,,7.0,,32.0,22.0,15.0
2015-07-11,19.0,41.0,1.0,16.0,,12.0,,17.0,8.0,18.0
2015-07-12,10.0,65.0,1.0,11.0,,11.0,,23.0,16.0,7.0
2015-07-13,14.0,57.0,1.0,23.0,,7.0,,47.0,18.0,8.0
2015-07-14,15.0,38.0,6.0,145.0,,9.0,,33.0,12.0,12.0
2015-07-15,8.0,20.0,8.0,14.0,,6.0,,47.0,14.0,25.0
2015-07-16,16.0,62.0,6.0,17.0,,10.0,,58.0,14.0,23.0
2015-07-17,8.0,44.0,4.0,85.0,,8.0,,29.0,7.0,6.0
2015-07-18,8.0,15.0,5.0,4.0,,13.0,,187.0,7.0,10.0
2015-07-19,16.0,10.0,1.0,30.0,,3.0,,128.0,20.0,7.0
2015-07-20,7.0,47.0,2.0,22.0,,14.0,,34.0,82.0,3.0
2015-07-21,11.0,24.0,3.0,9.0,,4.0,,38.0,8.0,17.0
2015-07-22,10.0,17.0,8.0,10.0,,9.0,,8.0,17.0,10.0
2015-07-23,20.0,22.0,8.0,11.0,,14.0,,38.0,18.0,16.0
2015-07-24,18.0,9.0,6.0,7.0,,10.0,,17.0,15.0,10.0
2015-07-25,15.0,39.0,6.0,7.0,,8.0,,45.0,23.0,7.0
2015-07-26,14.0,13.0,2.0,11.0,,3.0,,14.0,11.0,6.0
2015-07-27,49.0,11.0,2.0,9.0,,74.0,,15.0,20.0,15.0
2015-07-28,10.0,12.0,3.0,11.0,,17.0,,56.0,35.0,12.0
2015-07-29,16.0,21.0,2.0,44.0,,8.0,,30.0,20.0,32.0
2015-07-30,18.0,19.0,4.0,8.0,,6.0,,15.0,11.0,7.0
2015-07-31,8.0,9.0,3.0,14.0,,9.0,,115.0,13.0,10.0
2015-08-01,5.0,15.0,3.0,19.0,,3.0,,6.0,11.0,5.0
2015-08-02,9.0,33.0,5.0,10.0,,10.0,,25.0,13.0,13.0
2015-08-03,7.0,8.0,3.0,17.0,,21.0,,10.0,20.0,22.0
2015-08-04,13.0,8.0,5.0,17.0,,9.0,,135.0,47.0,15.0
2015-08-05,9.0,7.0,4.0,10.0,,5.0,,40.0,25.0,12.0
2015-08-06,7.0,13.0,2.0,7.0,,3.0,,63.0,93.0,9.0
2015-08-07,4.0,2.0,5.0,10.0,,4.0,,32.0,13.0,3.0
2015-08-08,11.0,23.0,1.0,1.0,,1.0,,35.0,18.0,12.0
2015-08-09,10.0,12.0,4.0,8.0,,7.0,,65.0,24.0,6.0
2015-08-10,5.0,27.0,5.0,27.0,,3.0,,14.0,8.0,4.0
2015-08-11,9.0,27.0,0.0,19.0,,15.0,,21.0,13.0,6.0
2015-08-12,9.0,36.0,0.0,16.0,,5.0,,35.0,6.0,4.0
2015-08-13,9.0,23.0,7.0,2.0,,6.0,,50.0,12.0,4.0
2015-08-14,9.0,58.0,3.0,84.0,,9.0,,49.0,5.0,16.0
2015-08-15,13.0,80.0,5.0,22.0,,4.0,,38.0,44.0,11.0
2015-08-16,4.0,60.0,1.0,14.0,,6.0,,12.0,15.0,8.0
2015-08-17,15.0,69.0,6.0,47.0,,7.0,,37.0,13.0,5.0
2015-08-18,25.0,42.0,2.0,25.0,,9.0,,87.0,19.0,5.0
2015-08-19,9.0,161.0,5.0,14.0,,11.0,,66.0,12.0,6.0
2015-08-20,5.0,94.0,0.0,11.0,,11.0,,90.0,6.0,12.0
2015-08-21,6.0,77.0,3.0,12.0,,2.0,,64.0,11.0,9.0
2015-08-22,20.0,78.0,1.0,27.0,,3.0,,402.0,12.0,15.0
2015-08-23,3.0,20.0,0.0,8.0,,7.0,,86.0,24.0,10.0
2015-08-24,14.0,24.0,1.0,17.0,,23.0,,90.0,27.0,10.0
2015-08-25,46.0,13.0,1.0,43.0,,4.0,,30.0,60.0,15.0
2015-08-26,5.0,14.0,2.0,3.0,,8.0,,86.0,11.0,5.0
2015-08-27,5.0,26.0,4.0,19.0,,8.0,,61.0,18.0,7.0
2015-08-28,13.0,8.0,2.0,14.0,,10.0,,7.0,10.0,9.0
2015-08-29,4.0,82.0,1.0,20.0,,5.0,,44.0,15.0,7.0
2015-08-30,9.0,22.0,1.0,43.0,,8.0,,7.0,12.0,9.0
2015-08-31,10.0,11.0,3.0,4.0,,4.0,,15.0,37.0,9.0
2015-09-01,9.0,81.0,4.0,5.0,,4.0,,11.0,18.0,7.0
2015-09-02,11.0,37.0,3.0,37.0,,8.0,,61.0,15.0,12.0
2015-09-03,11.0,9.0,6.0,23.0,,18.0,,9.0,7.0,6.0
2015-09-04,11.0,40.0,6.0,14.0,,6.0,,23.0,25.0,9.0
2015-09-05,9.0,47.0,4.0,12.0,,4.0,,31.0,20.0,9.0
2015-09-06,15.0,18.0,3.0,13.0,,9.0,,154.0,14.0,9.0
2015-09-07,5.0,23.0,3.0,22.0,,6.0,,11.0,14.0,26.0
2015-09-08,10.0,6.0,2.0,12.0,,8.0,,16.0,14.0,2.0
2015-09-09,7.0,2.0,9.0,12.0,,5.0,,5.0,13.0,7.0
2015-09-10,4.0,7.0,7.0,6.0,,11.0,,6.0,7.0,15.0
2015-09-11,8.0,16.0,2.0,27.0,,5.0,,7.0,15.0,10.0
2015-09-12,9.0,10.0,3.0,5.0,,10.0,,5.0,12.0,8.0
2015-09-13,10.0,34.0,1.0,7.0,,25.0,,4.0,15.0,2.0
2015-09-14,6.0,14.0,3.0,24.0,,29.0,,9.0,7.0,17.0
2015-09-15,13.0,31.0,1.0,8.0,,3.0,,12.0,15.0,9.0
2015-09-16,16.0,20.0,6.0,9.0,,10.0,,31.0,32.0,24.0
2015-09-17,6.0,23.0,7.0,10.0,,9.0,,11.0,15.0,23.0
2015-09-18,24.0,14.0,1.0,12.0,,16.0,,11.0,23.0,14.0
2015-09-19,9.0,16.0,2.0,19.0,,13.0,,10.0,78.0,14.0
2015-09-20,11.0,34.0,5.0,7.0,,7.0,,21.0,107.0,13.0
2015-09-21,12.0,15.0,2.0,7.0,,22.0,,7.0,25.0,21.0
2015-09-22,8.0,30.0,3.0,18.0,,9.0,,9.0,55.0,24.0
2015-09-23,14.0,13.0,8.0,15.0,,9.0,,5.0,7.0,19.0
2015-09-24,6.0,30.0,5.0,7.0,,17.0,,1.0,41.0,18.0
2015-09-25,6.0,15.0,0.0,9.0,,10.0,,68.0,31.0,13.0
2015-09-26,11.0,25.0,4.0,10.0,,24.0,,9.0,25.0,14.0
2015-09-27,14.0,17.0,1.0,9.0,,13.0,,4.0,22.0,14.0
2015-09-28,6.0,8.0,5.0,14.0,,23.0,,10.0,14.0,15.0
2015-09-29,10.0,12.0,3.0,8.0,,12.0,,44.0,16.0,10.0
2015-09-30,20.0,17.0,0.0,17.0,,2.0,,34.0,22.0,16.0
2015-10-01,7.0,10.0,1.0,6.0,,14.0,,59.0,20.0,13.0
2015-10-02,15.0,21.0,8.0,8.0,,13.0,,53.0,26.0,13.0
2015-10-03,8.0,18.0,2.0,7.0,,25.0,,12.0,21.0,14.0
2015-10-04,15.0,30.0,1.0,5.0,,13.0,,71.0,25.0,17.0
2015-10-05,5.0,13.0,3.0,3.0,,12.0,,26.0,53.0,11.0
2015-10-06,8.0,7.0,0.0,9.0,,11.0,,79.0,22.0,6.0
2015-10-07,8.0,15.0,0.0,5.0,,8.0,,21.0,20.0,25.0
2015-10-08,5.0,23.0,5.0,6.0,,5.0,,80.0,15.0,21.0
2015-10-09,11.0,20.0,3.0,8.0,,30.0,,43.0,32.0,14.0
2015-10-10,165.0,15.0,3.0,8.0,,6.0,,32.0,25.0,15.0
2015-10-11,34.0,9.0,0.0,11.0,,10.0,,72.0,40.0,7.0
2015-10-12,6.0,47.0,2.0,6.0,,10.0,,62.0,26.0,12.0
2015-10-13,13.0,14.0,5.0,7.0,,10.0,,12.0,14.0,23.0
